Modelo,Pergunta,N_LLM,JSD,CramersV,p_valor
sabia-4,P02,10000,0.7238,0.7728,0.0000e+00
sabiazinho-4,P02,10000,0.5664,0.5979,0.0000e+00
gpt-5-mini,P02,3989,0.6185,0.6611,0.0000e+00
llama-3.2-3b,P02,9694,0.4882,0.5275,0.0000e+00
sabia-4,P03,10000,0.6846,0.7249,0.0000e+00
sabiazinho-4,P03,10000,0.5452,0.5718,0.0000e+00
gpt-5-mini,P03,3976,0.5908,0.6435,0.0000e+00
llama-3.2-3b,P03,9702,0.5912,0.6478,0.0000e+00
sabia-4,P04,10000,0.3007,0.3266,0.0000e+00
sabiazinho-4,P04,10000,0.2097,0.2111,2.6598e-194
gpt-5-mini,P04,3995,0.8263,0.8693,0.0000e+00
llama-3.2-3b,P04,8641,0.81,0.8434,0.0000e+00
