,FX_ID,P4,REND1,REND2,SEXO,ESCOLARIDADE,P1A,P1B,P1C,RACA,RELIGIAO,REGIAO,COND,P2_1,P3_1
0,55 A 64,Nenhuma vontade,NÃO RESPONDEU,NÃO RESPONDEU,FEM,Outros,Não,Não,Não,Branca,Outros,SUL,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
1,18 A 24,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,MAS,2ª série,Não,Não,Não,Parda,Assembléia de Deus,CENTRO OESTE,INTERIOR,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
2,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Não,Não,Não,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
3,18 A 24,Nenhuma vontade,ATÉ 1,MAIS DE 2 A 5,MAS,Superior incompleto,Não,Sim,Não,Branca,É religioso mas não segue nenhuma/ Agnóstico,SUDESTE,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
4,45 A 54,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,4ª série (ou 5º ano),Sim,Sim,Sim,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Ampliar os espaços de participação política da população,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
5,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Sim,Sim,Não,Branca,Católica Apostólica Romana,SUL,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
6,45 A 54,Alguma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,3ª série,Não,Não,Não,Branca,Outros,SUDESTE,PERIFERIA,Incentivar a geração de empregos,Não sabe/ Não respondeu
7,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,Superior incompleto,Não,Não,Não,Branca,Católica Apostólica Romana,SUL,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
8,45 A 54,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,Superior incompleto,Sim,Sim,Sim,Parda,Católica Apostólica Romana,SUDESTE,PERIFERIA,Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
9,65 E MAIS,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,2ª série,Não,Não,Não,Branca,Católica Apostólica Romana,NORTE,CAPITAL,Ampliar os espaços de participação política da população,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros"
10,65 E MAIS,Muita vontade,MAIS DE 5 A 10,MAIS DE 5 A 10,MAS,Outros,Sim,Sim,Sim,Parda,Católica Apostólica Romana,NORTE,INTERIOR,Reduzir as desigualdades sociais,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
11,55 A 64,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,2ª série,Não,Não,Não,Branca,Outros,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,Não sabe/ Não respondeu
12,18 A 24,Alguma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,2ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Branca,Outros,SUL,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros"
13,18 A 24,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Parda,Católica Apostólica Romana,SUL,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
14,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 5 A 10,MAS,3ª série,Não,Não,Não,Parda,É religioso mas não segue nenhuma/ Agnóstico,SUDESTE,CAPITAL,Reduzir a violência,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
15,25 A 34,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,3ª série,Não,Não,Não,Preta,Católica Apostólica Romana,NORDESTE,CAPITAL,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
16,55 A 64,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,4ª série (ou 5º ano),Não,Não,Não,Branca,Assembléia de Deus,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
