SEXO,IDADE,FX_ID,ESCOLARIDADE,P1A,P1B,P1C,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P4,RACA,RELIGIAO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA
MAS,20.0,18 A 24,4ª série (ou 5º ano),Não,Não,Não,Preservar os valores ligados à família,,,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,INTERIOR,DE 5.001 A 10.000,189644563.0,2023-09-03,Face a face
FEM,23.0,18 A 24,2ª série,Não,Não,Não,Defender a igualdade entre homens e mulheres,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Preservar os valores ligados à família,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 5.001 A 10.000,189605043.0,2023-09-03,Face a face
FEM,58.0,55 A 64,3ª série,Não,Não,Não,Incentivar a geração de empregos,Ampliar o uso de energias renováveis,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189592588.0,2023-09-03,Face a face
FEM,44.0,35 A 44,5ª série (ou 6º ano),Não,Não,Não,Melhorar a qualidade da saúde,Reduzir a violência,Combater as mudanças climáticas/desmatamento,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Assembléia de Deus,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORTE,CAPITAL,DE 100.001 A 500.000,189516275.0,2023-09-01,Face a face
FEM,83.0,65 E MAIS,2ª série,Não,Não,Não,Ampliar os espaços de participação política da população,Reduzir a violência,Melhorar a qualidade da educação,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,CAPITAL,MAIS DE 500.000,189636224.0,2023-09-04,Face a face
MAS,35.0,35 A 44,3ª série,Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Reduzir as desigualdades sociais,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Muita vontade,Parda,"Ateu, não tem religião",NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,INTERIOR,DE 100.001 A 500.000,189658082.0,2023-09-04,Face a face
MAS,52.0,45 A 54,1ª série,Sim,Sim,Sim,Ampliar os espaços de participação política da população,Ampliar o uso de energias renováveis,Melhorar a qualidade da saúde,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Indígena,Evangélica - Não sabe especificar,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189551861.0,2023-09-02,Face a face
MAS,41.0,35 A 44,3ª série (ou 4º ano),Não,Não,Sim,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Melhorar a qualidade da saúde,Preservar os valores ligados à família,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Universal do Reino de Deus,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,189578960.0,2023-09-02,Face a face
FEM,21.0,18 A 24,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Parda,Outras Evangélicas específicas,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,DE 100.001 A 500.000,189564574.0,2023-09-02,Face a face
FEM,58.0,55 A 64,7ª série (ou 8º ano),Não,Não,Não,Incentivar a geração de empregos,Defender a igualdade entre homens e mulheres,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189514356.0,2023-09-01,Face a face
MAS,47.0,45 A 54,2ª série (ou 3º ano),Sim,Sim,Sim,Melhorar a qualidade da saúde,Reduzir a violência,Defender a igualdade entre homens e mulheres,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 10.001 A 20.000,189525790.0,2023-09-01,Face a face
MAS,60.0,55 A 64,1ª série,Não,Não,Não,Melhorar a qualidade da educação,Reduzir a violência,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 2 A 5,NORDESTE,INTERIOR,DE 10.001 A 20.000,189613286.0,2023-09-03,Face a face
MAS,75.0,65 E MAIS,2ª série (ou 3º ano),Não,Não,Não,Melhorar a qualidade da saúde,Reduzir a violência,Incentivar a geração de empregos,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,CENTRO OESTE,INTERIOR,DE 10.001 A 20.000,189554880.0,2023-09-02,Face a face
MAS,68.0,65 E MAIS,4ª série (ou 5º ano),Não,Não,Não,Reduzir as desigualdades sociais,Incentivar a geração de empregos,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 50.001 A 100.000,189712745.0,2023-09-05,Face a face
FEM,44.0,35 A 44,Superior completo,Não,Não,Não,Incentivar a geração de empregos,Reduzir a violência,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,Nenhuma vontade,Branca,Espírita/ Kardecista,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189576706.0,2023-09-02,Face a face
MAS,63.0,55 A 64,5ª série (ou 6º ano),Não,Sim,Sim,Ampliar o uso de energias renováveis,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 100.001 A 500.000,189695513.0,2023-09-05,Face a face
MAS,42.0,35 A 44,Superior completo,Sim,Sim,Sim,Incentivar a geração de empregos,Melhorar a qualidade da saúde,Preservar os valores ligados à família,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Alguma vontade,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,189580771.0,2023-09-02,Face a face
FEM,22.0,18 A 24,5ª série (ou 6º ano),Não,Não,Não,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Preservar os valores ligados à família,Não sabe/ Não respondeu,,,,,,Muita vontade,Parda,Não respondeu,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,PERIFERIA,DE 100.001 A 500.000,189565751.0,2023-09-02,Face a face
MAS,36.0,35 A 44,3ª série,Não,Não,Não votou em 2022 (Esp.),Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,"Ateu, não tem religião",MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,189566830.0,2023-09-02,Face a face
