index,question,llm_answer,true_answer,correct
1,P2_1,reduzir as desigualdades sociais,reduzir a violência,False
1,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
2,P2_1,incentivar a geração de empregos,reduzir as desigualdades sociais,False
2,P3_1,nenhuma vontade (não tem opinião sobre isso),"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
3,P2_1,reduzir as desigualdades sociais,preservar os valores ligados à família,False
3,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
4,P2_1,melhorar a qualidade da saúde,ampliar os espaços de participação política da população,False
4,P3_1,não sabe,"responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
5,P2_1,reduzir as desigualdades sociais,reduzir as desigualdades sociais,True
5,P3_1,não sabe,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
6,P2_1,melhorar a qualidade da educação,não sabe/ não respondeu,False
6,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",não sabe/ não respondeu,False
7,P2_1,preservar os valores ligados à família,reduzir as desigualdades sociais,False
7,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
8,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),melhorar a qualidade da educação,False
8,P3_1,não sabe,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
9,P2_1,incentivar a geração de empregos,reduzir as desigualdades sociais,False
9,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)","ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
10,P2_1,incentivar a geração de empregos,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
10,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
11,P2_1,preservar os valores ligados à família,preservar os valores ligados à família,True
11,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
12,P2_1,melhorar a qualidade da educação,reduzir a violência,False
12,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
13,P2_1,melhorar a qualidade da educação,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
13,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
14,P2_1,melhorar a qualidade da saúde,melhorar a qualidade da saúde,True
14,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
15,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),melhorar a qualidade da educação,False
15,P3_1,não sabe,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
16,P2_1,melhorar a qualidade da educação,incentivar a geração de empregos,False
16,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",não sabe/ não respondeu,False
17,P2_1,reduzir as desigualdades sociais,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
17,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
18,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
18,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
19,P2_1,reduzir as desigualdades sociais,ampliar os espaços de participação política da população,False
19,P3_1,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,True
20,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),incentivar a geração de empregos,False
20,P3_1,não sabe,"responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
21,P2_1,reduzir as desigualdades sociais,reduzir as desigualdades sociais,True
21,P3_1,não sabe,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
22,P2_1,melhorar a qualidade da educação,reduzir as desigualdades sociais,False
22,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
23,P2_1,preservar os valores ligados à família,melhorar a qualidade da saúde,False
23,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
24,P2_1,reduzir as desigualdades sociais,reduzir as desigualdades sociais,True
24,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
25,P2_1,reduzir as desigualdades sociais,reduzir as desigualdades sociais,True
25,P3_1,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
26,P2_1,reduzir a violência,reduzir as desigualdades sociais,False
26,P3_1,não sabe,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
27,P2_1,melhorar a qualidade da saúde,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
27,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
28,P2_1,defender a igualdade entre homens e mulheres,incentivar a geração de empregos,False
28,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
29,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),incentivar a geração de empregos,False
29,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
30,P2_1,melhorar a qualidade da saúde,reduzir as desigualdades sociais,False
30,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
31,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
31,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
32,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),reduzir as desigualdades sociais,False
32,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)","responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
33,P2_1,reduzir a violência,incentivar a geração de empregos,False
33,P3_1,não sabe,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
34,P2_1,incentivar a geração de empregos,reduzir a violência,False
34,P3_1,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
35,P2_1,incentivar a geração de empregos,reduzir a violência,False
35,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
36,P2_1,melhorar a qualidade da educação,melhorar a qualidade da saúde,False
36,P3_1,não sabe,não sabe/ não respondeu,False
37,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
37,P3_1,não sabe,"ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",False
38,P2_1,reduzir as desigualdades sociais,melhorar a qualidade da educação,False
38,P3_1,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,True
39,P2_1,melhorar a qualidade da educação,melhorar a qualidade da saúde,False
39,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
40,P2_1,reduzir as desigualdades sociais,melhorar a qualidade da educação,False
40,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
41,P2_1,reduzir as desigualdades sociais,reduzir a violência,False
41,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
42,P2_1,reduzir as desigualdades sociais,reduzir a violência,False
42,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
43,P2_1,preservar os valores ligados à família,ampliar os espaços de participação política da população,False
43,P3_1,não sabe,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
44,P2_1,reduzir as desigualdades sociais,reduzir as desigualdades sociais,True
44,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
45,P2_1,melhorar a qualidade da educação,incentivar a geração de empregos,False
45,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",não sabe/ não respondeu,False
46,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
46,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
47,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
47,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
48,P2_1,incentivar a geração de empregos,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
48,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
49,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
49,P3_1,não sabe,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
50,P2_1,melhorar a qualidade da educação,incentivar a geração de empregos,False
50,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
51,P2_1,melhorar a qualidade da educação,ampliar o uso de energias renováveis,False
51,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",False
52,P2_1,melhorar a qualidade da educação,incentivar a geração de empregos,False
52,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
53,P2_1,defender a igualdade entre homens e mulheres,incentivar a geração de empregos,False
53,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
54,P2_1,melhorar a qualidade da educação,incentivar a geração de empregos,False
54,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
55,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
55,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
56,P2_1,reduzir as desigualdades sociais,melhorar a qualidade da educação,False
56,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
57,P2_1,reduzir as desigualdades sociais,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
57,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
58,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
58,P3_1,não sabe,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
59,P2_1,reduzir as desigualdades sociais,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
59,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",não sabe/ não respondeu,False
60,P2_1,melhorar a qualidade da educação,melhorar a qualidade da educação,True
60,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
61,P2_1,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",reduzir as desigualdades sociais,False
61,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
62,P2_1,incentivar a geração de empregos,reduzir as desigualdades sociais,False
62,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
63,P2_1,reduzir as desigualdades sociais,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
63,P3_1,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
64,P2_1,incentivar a geração de empregos,reduzir as desigualdades sociais,False
64,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
65,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
65,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
